Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Kia,Sorento,2015,Saudi,Red,Semi Full,6.0,Gas,Automatic,171000,Al-Ahsa,45000,False
Porsche,Cayenne,2016,Saudi,White,Standard,3.6,Gas,Automatic,121,Khobar,160000,False
Ford,Taurus,2018,Unknown,Black,Standard,3.5,Gas,Automatic,88000,Al-Baha,78000,False
Toyota,Land Cruiser,2021,Saudi,Silver,Full,4.6,Gas,Automatic,2600,Riyadh,0,True
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,142000,Dammam,48000,False
Ford,Expedition,2007,Other,Red,Full,3.0,Gas,Automatic,423000,Al-Medina,29000,False
Audi,A6,2018,Saudi,Silver,Semi Full,3.0,Gas,Automatic,92000,Al-Medina,88000,False
BMW,The 7,2021,Gulf Arabic,Another Color,Full,2.0,Gas,Automatic,1500,Al-Ahsa,384900,False
Toyota,Furniture,2017,Saudi,White,Full,4.0,Gas,Automatic,30000,Riyadh,118000,False
Chevrolet,Caprice,2007,Other,Bronze,Semi Full,6.0,Gas,Automatic,300,Qassim,0,True
Hyundai,Elantra,2017,Saudi,White,Semi Full,2.0,Gas,Automatic,237356,Riyadh,42000,False
Hyundai,Sonata,2017,Saudi,White,Semi Full,2.4,Gas,Automatic,194814,Riyadh,55000,False
Changan,Eado,2020,Saudi,Brown,Semi Full,1.6,Gas,Automatic,89770,Riyadh,42000,False
Nissan,Patrol,2014,Saudi,White,Semi Full,5.6,Gas,Automatic,200000,Dammam,105000,False
GMC,Yukon,2012,Saudi,Black,Semi Full,5.3,Gas,Automatic,186,Jeddah,0,True
Ford,Victoria,2011,Other,White,Semi Full,4.6,Gas,Automatic,190000,Taef,0,True
Ford,Mustang,2010,Other,Black,Semi Full,3.7,Gas,Automatic,290000,Jazan,38000,False
Hyundai,Sonata,2019,Saudi,Brown,Full,2.4,Gas,Automatic,90000,Jeddah,61000,False
Ford,Marquis,2008,Other,Grey,Full,1.8,Gas,Automatic,125790,Tabouk,0,True
Chevrolet,Blazer,2013,Saudi,Silver,Standard,3.6,Gas,Automatic,177560,Dammam,35000,False
Toyota,Land Cruiser Pickup,2016,Gulf Arabic,Silver,Full,4.0,Gas,Manual,180000,Dammam,0,True
Chevrolet,Impala,2014,Saudi,Navy,Semi Full,3.6,Gas,Automatic,80000,Riyadh,45000,False
Chevrolet,Tahoe,2003,Gulf Arabic,Black,Full,5.3,Gas,Automatic,45000,Riyadh,18000,False
GMC,Suburban,2001,Saudi,Silver,Semi Full,5.3,Gas,Automatic,331000,Jeddah,0,True
Nissan,Datsun,2015,Saudi,White,Full,1.7,Gas,Manual,130,Tabouk,0,True
Toyota,Land Cruiser,2003,Saudi,White,Semi Full,4.6,Gas,Manual,495000,Aseer,0,True
Toyota,Prado,2016,Saudi,White,Semi Full,2.7,Gas,Automatic,60000,Jeddah,120000,False
Ford,Victoria,2010,Saudi,Golden,Standard,4.6,Gas,Automatic,400,Najran,0,True
BMW,X,2015,Saudi,Black,Full,3.6,Hybrid,Automatic,62300,Dammam,140000,False
Dodge,Charger,2013,Other,Black,Full,5.7,Gas,Automatic,175,Taef,38000,False
Toyota,Innova,2008,Saudi,Golden,Standard,2.7,Gas,Automatic,90000,Hafar Al-Batin,20000,False
Mercedes,S,2015,Saudi,Black,Full,3.0,Gas,Automatic,71000,Qassim,0,True
Chevrolet,Tahoe,2011,Saudi,Golden,Semi Full,5.3,Gas,Automatic,146000,Riyadh,0,True
Hyundai,Sonata,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,140000,Riyadh,0,True
Toyota,Land Cruiser,1982,Gulf Arabic,Brown,Semi Full,4.6,Gas,Manual,340000,Aseer,0,True
Chevrolet,Silverado,2014,Saudi,Silver,Full,8.0,Gas,Automatic,48000,Al-Medina,100000,False
Hyundai,Senta fe,2016,Saudi,White,Semi Full,3.3,Gas,Automatic,228,Dammam,0,True
Toyota,Echo,2004,Other,Another Color,Standard,1.5,Gas,Manual,488000,Jeddah,0,True
Volkswagen,Passat,2010,Saudi,Silver,Full,2.5,Gas,Automatic,143000,Dammam,21000,False
Ford,Van,2013,Other,White,Standard,3.6,Gas,Automatic,120,Jeddah,40000,False
Land Rover,Range Rover,2016,Saudi,Black,Standard,4.0,Gas,Automatic,106000,Riyadh,237000,False
Toyota,Corolla,2013,Other,White,Semi Full,1.6,Gas,Automatic,450000,Qassim,0,True
Toyota,Yaris,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,18000,Riyadh,36000,False
Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,160000,Jeddah,27500,False
Ford,Taurus,2013,Other,Silver,Standard,3.5,Gas,Automatic,293000,Riyadh,0,True
Ford,Explorer,2009,Other,Black,Full,4.0,Gas,Automatic,211000,Riyadh,16000,False
GMC,Suburban,2002,Other,Grey,Full,5.3,Gas,Automatic,30000,Riyadh,9000,False
Changan,Eado,2020,Saudi,Brown,Standard,1.6,Gas,Automatic,84000,Riyadh,42500,False
Changan,Eado,2020,Saudi,White,Standard,1.6,Gas,Automatic,86000,Riyadh,42500,False
Nissan,Pathfinder,2014,Saudi,White,Standard,3.5,Gas,Automatic,24000,Jeddah,50000,False
Nissan,Altima,2006,Saudi,Bronze,Semi Full,2.5,Gas,Automatic,392000,Riyadh,12000,False
Ford,Vego,2016,Gulf Arabic,Silver,Standard,1.5,Gas,Automatic,165200,Dammam,19000,False
GMC,Yukon,2007,Other,Black,Standard,5.3,Gas,Automatic,217,Al-Ahsa,0,True
Honda,Civic,2020,Saudi,White,Full,1.6,Gas,Automatic,60000,Al-Ahsa,0,True
Honda,CRV,2010,Gulf Arabic,Silver,Full,2.7,Gas,Automatic,105000,Jeddah,35000,False
Hyundai,Sonata,2016,Saudi,Brown,Semi Full,2.4,Gas,Automatic,284,Riyadh,0,True
Chevrolet,Tahoe,2020,Saudi,Black,Standard,5.3,Gas,Automatic,12000,Riyadh,0,True
Ford,Explorer,2014,Saudi,Silver,Semi Full,3.5,Gas,Automatic,168322,Al-Medina,60000,False
Ford,Expedition,2013,Saudi,Grey,Standard,5.4,Gas,Automatic,295000,Riyadh,0,True
Toyota,Camry,1998,Saudi,Golden,Standard,2.5,Gas,Manual,420000,Jeddah,0,True
Kia,Sportage,2017,Saudi,Black,Full,2.4,Gas,Automatic,242300,Dammam,0,True
Ford,Explorer,2010,Saudi,Another Color,Standard,3.5,Gas,Automatic,400000,Jeddah,0,True
Ford,Explorer,2004,Saudi,Red,Semi Full,4.0,Gas,Automatic,400000,Riyadh,9000,False
Toyota,Hilux,2015,Gulf Arabic,Silver,Full,2.7,Gas,Manual,100000,Dammam,0,True
Chevrolet,Tahoe,2015,Saudi,Black,Semi Full,5.3,Gas,Automatic,185000,Khobar,0,True
Nissan,Patrol,2015,Saudi,Another Color,Full,4.0,Gas,Automatic,77000,Al-Medina,166000,False
Toyota,Land Cruiser Pickup,2010,Saudi,Another Color,Full,4.0,Gas,Manual,400,Tabouk,0,True
Jeep,Wrangler,2016,Saudi,Silver,Full,3.6,Gas,Automatic,172000,Makkah,0,True
Hyundai,Accent,2012,Saudi,White,Standard,1.4,Gas,Automatic,360000,Najran,0,True
Hyundai,Elantra,2021,Saudi,Silver,Full,2.0,Gas,Automatic,750000,Riyadh,0,True
HAVAL,H2,2020,Gulf Arabic,Red,Semi Full,1.0,Gas,Automatic,29289,Makkah,50000,False
Chevrolet,Cruze,2013,Saudi,White,Standard,1.8,Gas,Automatic,175,Taef,15000,False
Nissan,Datsun,1987,Saudi,White,Standard,2.4,Gas,Manual,80000,Qassim,0,True
Lexus,LX,2016,Saudi,White,Full,5.7,Gas,Automatic,143000,Hafar Al-Batin,0,True
Hyundai,Elantra,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,276,Al-Medina,0,True
Mazda,6,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,77900,Riyadh,0,True
Toyota,Corolla,2016,Saudi,White,Standard,1.6,Gas,Automatic,270000,Riyadh,33000,False
Toyota,Corolla,2018,Saudi,Black,Standard,1.6,Gas,Automatic,72000,Riyadh,42000,False
Toyota,Corolla,2004,Saudi,Golden,Standard,1.3,Gas,Manual,40000,Riyadh,0,True
Ford,F150,2014,Saudi,Black,Full,3.2,Gas,Automatic,200000,Qassim,58000,False
Nissan,Navara,2014,Gulf Arabic,White,Full,2.5,Gas,Automatic,167,Aseer,35000,False
Hyundai,Senta fe,2015,Saudi,Silver,Semi Full,3.3,Gas,Automatic,120,Jeddah,57000,False
Jeep,Grand Cherokee,2020,Saudi,Brown,Full,3.6,Gas,Automatic,27500,Al-Ahsa,160000,False
Iveco,Daily,2018,Saudi,White,Standard,3.0,Diesel,Manual,116000,Riyadh,92000,False
Fiat,500,2019,Saudi,Grey,Semi Full,1.4,Gas,Automatic,28000,Makkah,62000,False
Toyota,Innova,2015,Saudi,White,Full,2.7,Gas,Automatic,185000,Riyadh,45000,False
Mitsubishi,Pajero,2014,Saudi,White,Full,3.5,Gas,Automatic,168,Besha,49000,False
Nissan,Pathfinder,2002,Saudi,White,Standard,3.3,Gas,Manual,470,Riyadh,0,True
Changan,CS95,2020,Saudi,Grey,Semi Full,1.5,Gas,Automatic,35000,Riyadh,0,True
Nissan,Pathfinder,2007,Saudi,Grey,Standard,3.5,Gas,Automatic,111,Riyadh,30000,False
Hyundai,Elantra,2012,Saudi,White,Semi Full,1.7,Gas,Manual,300,Qassim,15000,False
Toyota,Corolla,2015,Saudi,Grey,Full,1.6,Gas,Automatic,122000,Riyadh,0,True
Kia,Carnival,2013,Saudi,White,Semi Full,3.5,Gas,Automatic,256000,Al-Ahsa,28000,False
Ford,Taurus,2014,Other,Black,Full,3.5,Gas,Automatic,260,Riyadh,0,True
Toyota,Camry,2017,Saudi,Silver,Standard,2.5,Gas,Automatic,12000,Riyadh,0,True
Toyota,Land Cruiser,2021,Gulf Arabic,White,Full,4.6,Gas,Automatic,2000,Jazan,0,True
Hyundai,Accent,2019,Saudi,Red,Standard,1.4,Gas,Automatic,8103,Dammam,0,True
Hyundai,Accent,2017,Saudi,Silver,Semi Full,1.4,Gas,Automatic,175,Jeddah,0,True
Toyota,Land Cruiser Pickup,2016,Gulf Arabic,Bronze,Full,4.0,Gas,Manual,100000,Al-Jouf,0,True
Toyota,Land Cruiser,2007,Gulf Arabic,White,Semi Full,9.0,Gas,Manual,266,Jubail,0,True
Hyundai,Azera,2010,Saudi,Silver,Semi Full,2.7,Gas,Automatic,345000,Riyadh,0,True
Ford,Marquis,2003,Saudi,Blue,Standard,4.6,Gas,Automatic,450000,Al-Baha,0,True
Honda,Accord,2004,Saudi,Golden,Full,1.0,Gas,Automatic,300,Riyadh,13000,False
Toyota,Land Cruiser,2009,Saudi,White,Full,5.7,Gas,Automatic,470000,Qurayyat,76000,False
Toyota,Corolla,2015,Saudi,Silver,Semi Full,1.6,Gas,Automatic,200000,Jeddah,35000,False
Hyundai,H1,2010,Saudi,Blue,Standard,1.4,Gas,Automatic,147000,Riyadh,29000,False
Toyota,FJ,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,64866,Makkah,125000,False
Nissan,Navara,2019,Gulf Arabic,Black,Full,2.5,Diesel,Manual,69000,Al-Medina,0,True
Hyundai,Azera,2017,Other,White,Semi Full,3.5,Gas,Automatic,256,Riyadh,47000,False
Lexus,RX,2016,Saudi,Grey,Full,3.5,Hybrid,Automatic,90000,Riyadh,0,True
Ford,Taurus,2012,Gulf Arabic,Another Color,Full,3.5,Gas,Automatic,334728,Aseer,35000,False
Toyota,Corolla,2011,Saudi,White,Semi Full,1.4,Gas,Automatic,283971,Jeddah,25000,False
Chevrolet,Traverse,2016,Saudi,White,Semi Full,3.6,Gas,Automatic,56500,Tabouk,0,True
BMW,The 7,2016,Saudi,White,Full,2.0,Gas,Automatic,99000,Makkah,0,True
Toyota,Prado,2015,Saudi,Silver,Full,3.6,Gas,Automatic,225989,Jeddah,84000,False
BMW,The 7,2004,Saudi,Silver,Full,2.0,Gas,Automatic,240,Jeddah,0,True
MG,RX5,2019,Saudi,White,Full,2.0,Gas,Automatic,49000,Riyadh,0,True
Honda,Odyssey,2016,Saudi,Red,Full,6.0,Gas,Automatic,189000,Riyadh,57000,False
Toyota,Prado,2014,Saudi,White,Semi Full,1.8,Gas,Automatic,287,Qassim,0,True
Hyundai,Elantra,2007,Saudi,Grey,Standard,1.6,Gas,Manual,191700,Taef,13000,False
Ford,Expedition,2013,Saudi,Another Color,Semi Full,5.4,Gas,Automatic,200700,Jazan,0,True
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,39000,Riyadh,45000,False
Honda,Accord,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,117059,Riyadh,0,True
Chevrolet,Tahoe,2016,Saudi,Another Color,Standard,5.3,Gas,Automatic,222000,Jeddah,0,True
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Automatic,63000,Jeddah,110000,False
Toyota,Camry,2012,Other,White,Standard,2.5,Gas,Automatic,20455,Riyadh,0,True
Toyota,Camry,2020,Saudi,Brown,Semi Full,2.5,Gas,Automatic,38000,Riyadh,1364,False
Chevrolet,Traverse,2012,Saudi,Black,Semi Full,3.1,Gas,Automatic,132,Al-Medina,0,True
Ford,Marquis,2011,Other,Brown,Semi Full,8.0,Gas,Automatic,400000,Makkah,25000,False
Toyota,Camry,2013,Saudi,Black,Full,2.0,Gas,Automatic,135000,Taef,0,True
Hyundai,Senta fe,2016,Other,Another Color,Standard,2.0,Diesel,Automatic,193000,Dammam,61000,False
Toyota,Land Cruiser Pickup,2021,Gulf Arabic,Brown,Full,4.0,Gas,Manual,1519,Riyadh,175000,False
Toyota,Other,2013,Saudi,White,Standard,2.5,Diesel,Manual,420,Riyadh,0,True
Toyota,Land Cruiser 70,2011,Saudi,Bronze,Semi Full,4.0,Gas,Manual,300,Tabouk,0,True
Mercury,Grand Marquis,2000,Saudi,Silver,Semi Full,3.8,Gas,Automatic,179000,Dammam,14000,False
Ford,Taurus,2018,Saudi,White,Standard,3.5,Gas,Automatic,73000,Dammam,77000,False
Changan,CS75,2017,Saudi,White,Full,1.8,Gas,Automatic,107000,Riyadh,37000,False
Honda,Pilot,2005,Other,Blue,Semi Full,6.0,Gas,Automatic,4130,Dammam,15000,False
GMC,Sierra,2016,Saudi,Brown,Full,5.3,Gas,Automatic,161,Jeddah,80000,False
Kia,Optima,2016,Saudi,Red,Semi Full,2.4,Gas,Automatic,190000,Riyadh,42000,False
Isuzu,D-MAX,2019,Saudi,Another Color,Semi Full,3.0,Diesel,Automatic,86000,Riyadh,0,True
Ford,Explorer,2009,Saudi,Black,Standard,3.5,Gas,Automatic,215000,Riyadh,0,True
Toyota,Land Cruiser,2019,Saudi,White,Semi Full,4.6,Gas,Automatic,41000,Riyadh,190000,False
Ford,Mustang,2017,Saudi,Black,Full,5.0,Gas,Automatic,130000,Riyadh,130000,False
Jeep,Compass,2016,Saudi,Brown,Standard,2.4,Gas,Automatic,96213,Riyadh,38500,False
Toyota,Camry,2016,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,111,Riyadh,49000,False
Toyota,Yaris,2010,Saudi,Silver,Standard,1.3,Gas,Manual,350000,Jeddah,13000,False
Hyundai,Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,178000,Riyadh,55000,False
Toyota,Innova,2014,Saudi,White,Standard,2.7,Gas,Manual,282000,Jubail,35000,False
MG,RX5,2018,Saudi,Black,Full,2.0,Gas,Automatic,80000,Riyadh,0,True
Kia,Sorento,2011,Other,Silver,Standard,2.4,Gas,Automatic,160,Dammam,30000,False
Kia,Carnival,2015,Saudi,Another Color,Semi Full,3.3,Gas,Automatic,182000,Dammam,0,True
Toyota,Land Cruiser,2013,Saudi,White,Semi Full,4.6,Gas,Automatic,283,Al-Medina,100000,False
Toyota,Camry,2016,Saudi,Silver,Standard,2.5,Gas,Automatic,48000,Besha,0,True
Hyundai,Azera,2013,Saudi,Grey,Full,3.0,Gas,Automatic,284000,Riyadh,32000,False
Toyota,FJ,2014,Gulf Arabic,White,Full,4.0,Gas,Manual,208,Al-Baha,0,True
GMC,Yukon,2007,Saudi,Grey,Semi Full,4.5,Gas,Automatic,418000,Riyadh,0,True
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,88000,Riyadh,29000,False
Nissan,Patrol,2014,Saudi,Grey,Full,4.0,Gas,Automatic,265000,Jeddah,100000,False
Lexus,ES,2016,Other,Black,Full,3.5,Gas,Automatic,130000,Aseer,115000,False
Toyota,Land Cruiser,2016,Saudi,White,Full,4.0,Gas,Automatic,179812,Qassim,155000,False
Ford,Marquis,2008,Other,Red,Full,2.0,Gas,Automatic,456300,Aseer,0,True
Lexus,GS,2014,Saudi,Another Color,Full,3.5,Gas,Automatic,124000,Riyadh,136000,False
GMC,Suburban,1998,Other,White,Full,5.3,Gas,Automatic,395000,Riyadh,0,True
BMW,The 5,2020,Gulf Arabic,Black,Semi Full,1.9,Gas,Automatic,7800,Dammam,177000,False
GMC,Sierra,2011,Saudi,White,Standard,6.0,Gas,Automatic,233000,Dammam,36000,False
Toyota,Land Cruiser,2001,Saudi,White,Full,4.8,Gas,Automatic,152000,Qassim,95000,False
Renault,Duster,2017,Saudi,Navy,Full,2.0,Gas,Automatic,106000,Al-Ahsa,1128,False
Honda,Other,2005,Saudi,Red,Semi Full,4.0,Gas,Manual,100,Riyadh,20000,False
Mercedes,S,2006,Saudi,Silver,Full,3.5,Gas,Automatic,290000,Riyadh,0,True
Porsche,Cayenne S,2012,Saudi,Black,Full,4.8,Gas,Automatic,189000,Riyadh,85000,False
Hyundai,Elantra,2016,Other,White,Full,1.6,Diesel,Automatic,74000,Jeddah,50000,False
GMC,Suburban,2006,Other,Golden,Semi Full,5.3,Gas,Automatic,238,Riyadh,30000,False
Ford,Expedition,2009,Saudi,Black,Semi Full,5.4,Gas,Automatic,18500,Taef,35000,False
Ford,Explorer,2013,Other,Blue,Standard,3.5,Gas,Automatic,218000,Makkah,48000,False
Dodge,Ram,2011,Saudi,White,Semi Full,5.7,Gas,Automatic,190000,Riyadh,40000,False
Kia,Cerato,2012,Other,White,Standard,1.6,Gas,Automatic,312287,Riyadh,17000,False
Ford,Edge,2014,Saudi,Red,Full,3.6,Gas,Automatic,99000,Jeddah,1500,False
Chevrolet,Tahoe,2007,Gulf Arabic,Black,Full,5.3,Gas,Automatic,305000,Abha,0,True
GMC,Sierra,2015,Saudi,Another Color,Full,6.2,Gas,Automatic,137000,Riyadh,0,True
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,167860,Hafar Al-Batin,108000,False
Chevrolet,Tahoe,2010,Saudi,White,Full,2.7,Gas,Automatic,260000,Riyadh,65000,False
Toyota,Hilux,2013,Gulf Arabic,White,Full,2.7,Gas,Manual,171400,Taef,0,True
Ford,Flex,2015,Saudi,Black,Standard,3.6,Gas,Automatic,290000,Riyadh,30000,False
Hyundai,Elantra,2020,Saudi,Silver,Standard,1.6,Gas,Automatic,37000,Riyadh,0,True
Toyota,Hilux,2012,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,366000,Aseer,53000,False
GMC,Sierra,2021,Saudi,Silver,Full,9.0,Gas,Automatic,100,Dammam,178000,False
Toyota,Camry,2014,Saudi,White,Semi Full,1.5,Gas,Automatic,350000,Riyadh,0,True
Ford,Edge,2007,Gulf Arabic,Another Color,Full,3.5,Gas,Automatic,372400,Al-Ahsa,19000,False
Kia,Sportage,2016,Saudi,Black,Full,2.4,Gas,Automatic,190000,Riyadh,62000,False
Toyota,Camry,2009,Saudi,White,Standard,2.5,Gas,Manual,350000,Jeddah,25000,False
Hyundai,Elantra,2013,Saudi,Blue,Semi Full,2.0,Gas,Automatic,300000,Aseer,20000,False
Mercedes,S,2007,Other,Black,Full,4.0,Gas,Automatic,146000,Dammam,0,True
Lexus,LS,1998,Other,Red,Full,4.6,Gas,Automatic,400,Abha,0,True
Ford,Expedition,2003,Other,Brown,Semi Full,8.0,Gas,Automatic,246000,Al-Medina,15000,False
Chevrolet,Suburban,2008,Saudi,Black,Full,5.3,Gas,Automatic,500000,Riyadh,0,True
Chevrolet,Traverse,2011,Saudi,Brown,Standard,3.6,Gas,Automatic,138000,Al-Ahsa,24000,False
Hyundai,Accent,2016,Saudi,White,Standard,1.6,Gas,Automatic,214000,Riyadh,23500,False
Chevrolet,Caprice,2011,Gulf Arabic,Silver,Standard,6.0,Gas,Automatic,450000,Riyadh,0,True
Chevrolet,Tahoe,2011,Saudi,Black,Standard,5.3,Gas,Automatic,250000,Al-Ahsa,40000,False
Ford,Edge,2011,Saudi,Red,Full,3.5,Gas,Automatic,70000,Jeddah,60000,False
Mitsubishi,Pajero,2015,Saudi,Another Color,Standard,3.5,Gas,Automatic,98000,Qassim,60000,False
Dodge,Charger,2006,Other,Red,Standard,3.5,Gas,Automatic,280000,Al-Ahsa,0,True
Toyota,Prado,2017,Saudi,White,Semi Full,4.0,Gas,Automatic,223000,Hafar Al-Batin,0,True
Hyundai,Sonata,2017,Saudi,Brown,Full,2.4,Gas,Automatic,267,Jazan,0,True
Kia,Cerato,2014,Saudi,Red,Semi Full,1.6,Gas,Automatic,223,Tabouk,24000,False
Ford,Expedition,2014,Saudi,Black,Standard,5.4,Gas,Automatic,332500,Riyadh,0,True
Ford,Taurus,2013,Other,White,Semi Full,3.5,Gas,Automatic,250,Makkah,0,True
Nissan,Altima,2013,Saudi,White,Semi Full,2.5,Gas,Automatic,134000,Jeddah,35000,False
Chevrolet,Traverse,2018,Saudi,Black,Standard,3.6,Gas,Automatic,280,Riyadh,0,True
GMC,Sierra,2016,Saudi,Silver,Full,5.3,Gas,Automatic,144000,Aseer,95000,False
Toyota,Land Cruiser,2020,Gulf Arabic,Grey,Full,4.6,Gas,Automatic,19800,Dammam,265000,False
Honda,Accord,2018,Saudi,White,Semi Full,1.5,Gas,Automatic,105000,Jeddah,0,True
Toyota,Camry,2011,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,349000,Al-Jouf,0,True
Toyota,Furniture,2008,Saudi,Golden,Semi Full,4.0,Gas,Automatic,210000,Riyadh,0,True
Ford,Taurus,2010,Other,Another Color,Semi Full,3.5,Gas,Automatic,380,Al-Baha,28000,False
Lexus,ES,2009,Saudi,White,Semi Full,3.5,Gas,Automatic,417970,Riyadh,0,True
Chevrolet,Caprice,2013,Other,White,Standard,6.0,Gas,Automatic,280000,Makkah,44000,False
Jaguar,XF,2009,Saudi,Another Color,Semi Full,6.0,Gas,Automatic,50000,Riyadh,35000,False
Toyota,Land Cruiser Pickup,2016,Saudi,Bronze,Semi Full,4.0,Gas,Manual,243000,Riyadh,95000,False
Nissan,Armada,2007,Saudi,Bronze,Full,8.0,Gas,Automatic,250000,Hafar Al-Batin,0,True
Honda,Accord,2005,Gulf Arabic,White,Full,1.4,Gas,Automatic,250000,Jeddah,17000,False
BMW,X,2009,Saudi,Black,Full,3.0,Gas,Automatic,180000,Jeddah,35000,False
MINI,Copper,2016,Gulf Arabic,Blue,Semi Full,2.0,Gas,Automatic,75000,Jeddah,80000,False
Nissan,Datsun,2015,Saudi,White,Standard,2.7,Gas,Manual,77000,Jeddah,45000,False
Hyundai,Sonata,2016,Other,Black,Semi Full,2.4,Diesel,Automatic,152000,Qassim,52000,False
Chevrolet,Caprice,2014,Saudi,Another Color,Standard,6.0,Gas,Automatic,195,Riyadh,0,True
Ford,Taurus,2019,Saudi,Silver,Standard,2.0,Gas,Automatic,48000,Dammam,80000,False
Toyota,Land Cruiser Pickup,2006,Saudi,White,Standard,4.0,Gas,Manual,406000,Dammam,55000,False
Toyota,Hilux,2002,Saudi,White,Full,2.7,Gas,Manual,100,Sabya,0,True
Honda,Accord,2017,Gulf Arabic,Red,Full,2.4,Gas,Automatic,30000,Riyadh,0,True
Toyota,Rav4,2011,Saudi,White,Semi Full,2.4,Gas,Automatic,400000,Jeddah,35000,False
Lexus,LS,2002,Saudi,White,Full,4.6,Gas,Automatic,500,Riyadh,26000,False
Chrysler,C300,2012,Other,Silver,Full,5.7,Gas,Automatic,143000,Dammam,51000,False
GMC,Yukon,2009,Saudi,Black,Full,5.3,Gas,Automatic,309000,Riyadh,0,True
Kia,Carens,2015,Saudi,Silver,Semi Full,1.6,Gas,Automatic,37000,Jeddah,33000,False
GMC,Sierra,2015,Saudi,Silver,Full,4.4,Gas,Automatic,76000,Dammam,100000,False
Toyota,Camry,2013,Saudi,White,Full,2.5,Gas,Manual,633386,Aseer,37000,False
